step,answer,format,total,total_std,zero_std,finish,search,max_hit,dup,search_rate,internal,kl
61,0.4375,0.9375,0.5312,0.5021,0.5,0.9375,0.0,0.0,0.0,0.0,0.0,0.02473
62,0.1562,1.0,0.2563,0.3631,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.05519
63,0.25,1.0,0.35,0.433,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05558
64,0.2188,1.0,0.3188,0.4134,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.0402
65,0.125,1.0,0.225,0.3307,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05809
66,0.0625,0.9688,0.1594,0.2435,0.75,0.9688,0.0,0.0,0.0,0.0,0.0,0.04408
67,0.03125,1.0,0.1313,0.174,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.07534
68,0.1875,1.0,0.2875,0.3903,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.05346
69,0.0,0.9375,0.09375,0.02421,0.75,0.9375,0.0,0.0,0.0,0.0,0.0,0.03543
70,0.5,0.9688,0.5969,0.5034,0.5,0.9688,0.0,0.0,0.0,0.0,0.0,0.0381
71,0.09375,1.0,0.1938,0.2915,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.08858
72,0.125,1.0,0.225,0.3307,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.07062
73,0.125,0.9688,0.2219,0.3324,0.875,0.9688,0.0,0.0,0.0,0.0,0.0,0.03857
74,0.4062,0.9688,0.5031,0.494,0.625,0.9688,0.0,0.0,0.0,0.0,0.0,0.03719
75,0.125,0.9375,0.2188,0.334,0.625,0.9375,0.0,0.0,0.0,0.0,0.0,0.04582
76,0.125,1.0,0.225,0.3307,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08657
77,0.4062,1.0,0.5063,0.4911,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.08252
78,0.3125,0.9688,0.4094,0.4659,0.5,0.9688,0.0,0.0,0.0,0.0,0.0,0.04636
79,0.125,1.0,0.225,0.3307,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07945
80,0.2812,1.0,0.3813,0.4496,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.09274
81,0.1562,0.9688,0.2531,0.3648,0.875,0.9688,0.0,0.0,0.0,0.0,0.0,0.1006
82,0.25,1.0,0.35,0.433,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0762
83,0.125,1.0,0.225,0.3307,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0791
84,0.09375,1.0,0.1938,0.2915,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.11
85,0.1562,1.0,0.2563,0.3631,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.1272
86,0.09375,1.0,0.1938,0.2915,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.1362
87,0.25,1.0,0.35,0.433,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08967
88,0.25,1.0,0.35,0.433,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.09983
89,0.03125,0.9688,0.1281,0.1754,0.75,0.9688,0.0,0.0,0.0,0.0,0.0,0.0483
90,0.03125,1.0,0.1313,0.174,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.1037
91,0.25,1.0,0.35,0.433,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1023
92,0.25,1.0,0.35,0.433,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08033
93,0.4062,1.0,0.5063,0.4911,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.09036
94,0.4688,1.0,0.5688,0.499,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.08799
95,0.03125,1.0,0.1313,0.174,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.09709
96,0.3438,1.0,0.4438,0.475,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.1178
97,0.1875,1.0,0.2875,0.3903,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.08941
98,0.375,1.0,0.475,0.4841,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.1002
99,0.03125,1.0,0.1313,0.174,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.1161
100,0.3125,1.0,0.4125,0.4635,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.1234
