step,answer,evidence,format,total,total_std,zero_std,finish,search,search_rate,ev_f1,ev_nz,kl
1,0.2188,0.2677,0.9688,0.4495,0.4763,0.125,0.9688,0.4688,0.4688,0.2677,0.9375,0.0
2,0.09375,0.309,1.0,0.3483,0.2655,0.125,1.0,0.5625,0.5625,0.309,0.9688,0.0004264
3,0.2812,0.2876,0.9375,0.5188,0.468,0.0,0.9375,0.4062,0.4062,0.2876,0.9375,0.0004826
4,0.1562,0.1936,1.0,0.3531,0.406,0.25,1.0,0.4688,0.4688,0.1936,0.9062,0.0004234
5,0.03125,0.1925,0.9375,0.2213,0.2128,0.125,0.9375,0.4062,0.4062,0.1925,0.9375,0.000421
6,0.25,0.2496,1.0,0.4748,0.5172,0.375,1.0,0.3438,0.3438,0.2496,0.9688,0.000771
7,0.03125,0.26,0.9062,0.2519,0.2256,0.25,0.9062,0.4375,0.4375,0.26,0.8438,0.0005021
8,0.0,0.08542,0.9688,0.1396,0.09805,0.5,0.9688,0.25,0.25,0.08542,0.9688,0.001356
9,0.1875,0.1226,1.0,0.3488,0.4286,0.25,1.0,0.125,0.125,0.1226,0.875,0.000887
10,0.125,0.2852,1.0,0.3676,0.3121,0.125,1.0,0.4688,0.4688,0.2852,0.9688,0.002408
11,0.03125,0.2917,0.9688,0.274,0.2812,0.25,0.9688,0.2812,0.2812,0.2917,0.9688,0.002058
12,0.0625,0.1929,0.875,0.2464,0.2534,0.125,0.875,0.3438,0.3438,0.1929,0.875,0.001309
13,0.1562,0.2283,0.9062,0.361,0.3915,0.0,0.9062,0.2188,0.2188,0.2283,0.9062,0.001753
14,0.09375,0.2367,1.0,0.3121,0.3095,0.25,1.0,0.375,0.375,0.2367,0.9375,0.001666
15,0.0,0.1997,0.9375,0.1936,0.1176,0.125,0.9375,0.3438,0.3438,0.1997,0.9688,0.001881
16,0.0,0.1133,0.9062,0.1473,0.09649,0.25,0.9062,0.0625,0.0625,0.1133,0.9375,0.001849
17,0.125,0.1433,0.9375,0.2904,0.3765,0.25,0.9375,0.0625,0.0625,0.1433,0.9062,0.00275
18,0.2188,0.2562,1.0,0.4469,0.4478,0.25,1.0,0.1875,0.1875,0.2562,1.0,0.003287
19,0.0625,0.2089,0.9688,0.2638,0.2457,0.125,0.9688,0.09375,0.09375,0.2089,0.9688,0.003884
20,0.0,0.1835,0.9688,0.1886,0.1318,0.375,0.9688,0.25,0.25,0.1835,0.9688,0.002583
21,0.09375,0.2278,0.9688,0.3045,0.3502,0.375,0.9688,0.2188,0.2188,0.2278,0.9688,0.002797
22,0.09375,0.3574,0.9688,0.3693,0.351,0.0,0.9688,0.3125,0.3125,0.3574,0.9688,0.00348
23,0.1562,0.1938,0.9062,0.3438,0.4628,0.25,0.9062,0.1875,0.1875,0.1938,0.9375,0.001932
24,0.03125,0.2141,0.9375,0.2321,0.2395,0.25,0.9375,0.2188,0.2188,0.2141,0.9375,0.001347
25,0.25,0.3006,1.0,0.5003,0.5248,0.25,1.0,0.3438,0.3438,0.3006,1.0,0.004072
26,0.0625,0.2997,1.0,0.3123,0.288,0.0,1.0,0.4688,0.4688,0.2997,1.0,0.002847
27,0.125,0.3096,1.0,0.3798,0.4022,0.0,1.0,0.3125,0.3125,0.3096,1.0,0.002182
28,0.0625,0.2253,0.9688,0.272,0.2898,0.5,0.9688,0.3438,0.3438,0.2253,0.9688,0.003804
29,0.125,0.2365,1.0,0.3432,0.4103,0.25,1.0,0.1875,0.1875,0.2365,1.0,0.006141
30,0.2188,0.2667,0.9688,0.449,0.4888,0.25,0.9688,0.2812,0.2812,0.2667,0.9688,0.003555
31,0.03125,0.1558,0.9688,0.206,0.1959,0.25,0.9688,0.2812,0.2812,0.1558,0.9688,0.00332
32,0.0,0.2435,1.0,0.2217,0.1462,0.125,1.0,0.5938,0.5938,0.2435,1.0,0.00296
33,0.1875,0.242,0.9062,0.3991,0.4924,0.125,0.9062,0.5,0.5,0.242,0.9062,0.002324
34,0.03125,0.2896,1.0,0.276,0.2947,0.375,1.0,0.5,0.5,0.2896,1.0,0.002783
35,0.0,0.2635,0.9688,0.2286,0.1495,0.125,0.9688,0.4375,0.4375,0.2635,0.9375,0.003131
36,0.1875,0.2714,0.9688,0.4201,0.4607,0.375,0.9688,0.3438,0.3438,0.2714,0.9688,0.003039
37,0.1562,0.4074,1.0,0.4599,0.448,0.125,1.0,0.5,0.5,0.4074,1.0,0.003723
38,0.125,0.3771,1.0,0.4135,0.41,0.25,1.0,0.4375,0.4375,0.3771,1.0,0.003093
39,0.125,0.2876,1.0,0.3688,0.367,0.0,1.0,0.3438,0.3438,0.2876,1.0,0.004786
40,0.0625,0.3979,1.0,0.3615,0.3028,0.125,1.0,0.6875,0.6875,0.3979,1.0,0.002351
41,0.0,0.3335,1.0,0.2667,0.1648,0.25,1.0,0.8438,0.8438,0.3335,1.0,0.003028
42,0.0,0.4286,1.0,0.3143,0.1496,0.125,1.0,0.7188,0.7188,0.4286,1.0,0.003018
43,0.125,0.2731,0.9688,0.3584,0.3792,0.0,0.9688,0.625,0.625,0.2731,0.9688,0.003124
44,0.375,0.4311,1.0,0.6905,0.5888,0.125,1.0,0.4375,0.4062,0.4311,1.0,0.006138
45,0.03125,0.4142,1.0,0.3384,0.2478,0.25,1.0,0.625,0.625,0.4142,1.0,0.005917
46,0.0625,0.2369,1.0,0.281,0.2661,0.375,0.9688,0.5938,0.5938,0.2369,0.9688,0.003553
47,0.0,0.4597,0.9688,0.3267,0.1587,0.0,0.9688,0.7188,0.7188,0.4597,0.9688,0.003189
48,0.0,0.2792,1.0,0.2396,0.1172,0.125,1.0,0.625,0.625,0.2792,1.0,0.004625
