step,answer,evidence,format,total,total_std,zero_std,finish,search,search_rate,ev_f1,ev_nz,kl
1,0.2188,0.224,0.875,0.2057,0.613,0.125,0.875,0.5312,0.5312,0.224,0.8438,0.0
2,0.125,0.3557,1.0,0.1779,0.4063,0.0,1.0,0.5625,0.5625,0.3557,0.9375,0.0004358
3,0.25,0.3255,0.9375,0.4315,0.5687,0.125,0.9375,0.1875,0.1875,0.3255,0.9375,0.001099
4,0.0625,0.1406,0.9375,0.1391,0.333,0.375,0.9375,0.2188,0.2188,0.1406,0.9062,0.001212
5,0.1562,0.132,0.9688,0.2816,0.4001,0.375,0.9688,0.09375,0.09375,0.132,0.9688,0.006749
6,0.1875,0.1313,0.9062,0.3438,0.4443,0.25,0.9062,0.0,0.0,0.1313,0.9375,0.003123
7,0.125,0.1536,0.9062,0.2924,0.3906,0.375,0.9062,0.0,0.0,0.1536,0.875,0.002883
8,0.0,0.05313,0.9688,0.1234,0.07393,0.625,0.9688,0.0,0.0,0.05313,0.9688,0.003045
9,0.1875,0.1984,0.9688,0.3836,0.5184,0.25,0.9688,0.0,0.0,0.1984,0.9688,0.002553
10,0.2188,0.2481,0.9375,0.4365,0.493,0.125,0.9375,0.0,0.0,0.2481,0.9375,0.004856
11,0.09375,0.199,0.9062,0.2839,0.3972,0.25,0.9062,0.0,0.0,0.199,0.9062,0.003985
12,0.125,0.1005,0.9375,0.269,0.3281,0.375,0.9375,0.0,0.0,0.1005,0.9375,0.004763
13,0.2188,0.196,0.9688,0.4136,0.42,0.25,0.9688,0.0,0.0,0.196,0.9688,0.005514
14,0.09375,0.1386,1.0,0.263,0.289,0.375,1.0,0.0,0.0,0.1386,1.0,0.008523
15,0.03125,0.1293,0.9375,0.1897,0.1946,0.125,0.9375,0.0,0.0,0.1293,0.9375,0.01024
16,0.03125,0.08958,1.0,0.176,0.1867,0.375,1.0,0.0,0.0,0.08958,1.0,0.004952
17,0.375,0.1568,0.9688,0.5503,0.5013,0.125,0.9688,0.0,0.0,0.1568,0.9688,0.005516
18,0.1875,0.1679,0.8438,0.3558,0.4507,0.0,0.8438,0.0,0.0,0.1679,0.9062,0.004225
19,0.03125,0.2178,0.9375,0.2339,0.2165,0.125,0.9375,0.0,0.0,0.2178,0.9375,0.003977
20,0.03125,0.1193,0.9688,0.1878,0.2272,0.25,0.9688,0.0,0.0,0.1193,0.9688,0.006399
21,0.1562,0.1813,0.9688,0.3438,0.4216,0.375,0.9688,0.0,0.0,0.1813,0.9688,0.00463
22,0.125,0.32,0.9062,0.3756,0.3896,0.125,0.9062,0.0,0.0,0.32,0.9062,0.005077
23,0.25,0.226,0.9688,0.4599,0.5573,0.25,0.9688,0.0,0.0,0.226,1.0,0.01173
24,0.0,0.1194,0.9062,0.1503,0.1257,0.375,0.9062,0.0,0.0,0.1194,0.8125,0.005978
25,0.375,0.3187,0.9688,0.6312,0.5531,0.125,0.9688,0.0,0.0,0.3187,1.0,0.01013
26,0.09375,0.1763,0.9688,0.2788,0.4079,0.375,0.9688,0.0,0.0,0.1763,0.9688,0.009852
27,0.125,0.1695,0.9688,0.3066,0.374,0.375,0.9688,0.0,0.0,0.1695,0.9375,0.006435
28,0.125,0.1717,0.9375,0.3046,0.3943,0.25,0.9375,0.0,0.0,0.1717,0.9688,0.007661
29,0.125,0.2101,0.9688,0.3269,0.4023,0.5,0.9688,0.0,0.0,0.2101,0.9688,0.006983
30,0.2812,0.2344,0.875,0.4859,0.5507,0.25,0.875,0.0,0.0,0.2344,0.875,0.005301
31,0.1875,0.1306,0.9688,0.3497,0.4112,0.25,0.9688,0.0,0.0,0.1306,1.0,0.01006
32,0.0625,0.2102,0.9375,0.2613,0.342,0.375,0.9375,0.0,0.0,0.2102,0.9688,0.01046
33,0.375,0.2622,1.0,0.6061,0.5901,0.375,1.0,0.0,0.0,0.2622,1.0,0.01719
34,0.09375,0.2161,1.0,0.3018,0.3776,0.375,1.0,0.0,0.0,0.2161,1.0,0.01361
35,0.0,0.08149,1.0,0.1407,0.08625,0.5,1.0,0.0,0.0,0.08149,1.0,0.01559
36,0.25,0.1031,0.9062,0.3922,0.5208,0.375,0.9062,0.0,0.0,0.1031,0.9062,0.007463
37,0.2188,0.2658,1.0,0.4517,0.4702,0.375,1.0,0.0,0.0,0.2658,1.0,0.01469
38,0.3125,0.299,0.9688,0.5589,0.5505,0.25,0.9688,0.0,0.0,0.299,0.9688,0.01392
39,0.09375,0.201,0.9688,0.2911,0.3279,0.125,0.9688,0.0,0.0,0.201,0.9688,0.01141
40,0.09375,0.276,1.0,0.3318,0.3689,0.25,1.0,0.0,0.0,0.276,1.0,0.0215
41,0.1875,0.2513,1.0,0.4132,0.4711,0.375,1.0,0.0,0.0,0.2513,1.0,0.01805
42,0.03125,0.2396,0.9375,0.2448,0.2282,0.125,0.9375,0.0,0.0,0.2396,0.9375,0.01461
43,0.125,0.1547,0.9688,0.2992,0.4042,0.25,0.9688,0.0,0.0,0.1547,0.9688,0.01743
44,0.3125,0.4007,0.9375,0.6066,0.5863,0.0,0.9375,0.0,0.0,0.4007,1.0,0.02313
45,0.2188,0.1182,1.0,0.3779,0.4462,0.5,1.0,0.0,0.0,0.1182,1.0,0.02894
46,0.3125,0.3046,0.9688,0.5617,0.5624,0.125,0.9688,0.0,0.0,0.3046,0.9688,0.0254
47,0.125,0.3027,1.0,0.3764,0.439,0.125,1.0,0.0,0.0,0.3027,1.0,0.04375
48,0.0625,0.1323,0.9688,0.2255,0.3068,0.5,0.9688,0.0,0.0,0.1323,0.9688,0.02968
49,0.0625,0.0881,0.9688,0.2034,0.2756,0.625,0.9688,0.0,0.0,0.0881,0.9688,0.03636
50,0.1875,0.4045,0.9688,0.4866,0.4587,0.125,0.9688,0.0,0.0,0.4045,0.9688,0.03394
51,0.03125,0.2635,1.0,0.263,0.2515,0.625,1.0,0.0,0.0,0.2635,1.0,0.04744
52,0.125,0.2552,0.9062,0.3432,0.3723,0.25,0.9062,0.0,0.0,0.2552,0.9062,0.01845
53,0.09375,0.1048,1.0,0.2461,0.3164,0.5,1.0,0.0,0.0,0.1048,1.0,0.05279
54,0.0,0.158,1.0,0.179,0.1223,0.25,1.0,0.0,0.0,0.158,1.0,0.04654
55,0.3438,0.2768,1.0,0.5821,0.4961,0.25,1.0,0.0,0.0,0.2768,1.0,0.07525
56,0.09375,0.08125,0.9688,0.2313,0.3752,0.5,0.9688,0.0,0.0,0.08125,0.9688,0.05124
57,0.3438,0.2417,0.9688,0.5615,0.5001,0.125,0.9688,0.0,0.0,0.2417,0.9688,0.04889
58,0.1562,0.1933,0.9375,0.3467,0.3997,0.25,0.9375,0.0,0.0,0.1933,0.9375,0.03725
59,0.125,0.08184,0.9375,0.2597,0.3954,0.5,0.9375,0.0,0.0,0.08184,0.9375,0.03045
60,0.0,0.2057,0.9688,0.1997,0.1398,0.375,0.9688,0.0,0.0,0.2057,1.0,0.06274
61,0.5,0.4784,1.0,0.8392,0.65,0.375,1.0,0.0,0.0,0.4784,1.0,0.1512
62,0.1562,0.1941,0.9688,0.3502,0.3934,0.25,0.9688,0.0,0.0,0.1941,1.0,0.04739
63,0.25,0.2366,1.0,0.4683,0.6125,0.625,1.0,0.0,0.0,0.2366,1.0,0.1362
64,0.2188,0.26,1.0,0.4487,0.5297,0.375,1.0,0.0,0.0,0.26,1.0,0.03636
65,0.125,0.2418,0.9688,0.3428,0.4551,0.375,0.9688,0.0,0.0,0.2418,0.9688,0.0475
66,0.03125,0.08601,0.9688,0.1711,0.1924,0.5,0.9688,0.0,0.0,0.08601,0.9688,0.04376
67,0.0,0.2022,1.0,0.2011,0.1396,0.375,1.0,0.0,0.0,0.2022,1.0,0.05005
68,0.1562,0.2766,1.0,0.3946,0.4055,0.375,1.0,0.0,0.0,0.2766,1.0,0.04421
69,0.0,0.1823,0.9688,0.188,0.1174,0.375,0.9688,0.0,0.0,0.1823,0.9688,0.043
70,0.4375,0.4097,0.9688,0.7392,0.616,0.25,0.9688,0.0,0.0,0.4097,0.9688,0.05638
71,0.1875,0.1277,1.0,0.3513,0.3716,0.5,1.0,0.0,0.0,0.1277,1.0,0.05987
72,0.09375,0.225,0.9688,0.3031,0.3459,0.625,0.9688,0.0,0.0,0.225,0.9688,0.04195
73,0.125,0.2208,0.9688,0.3323,0.4905,0.5,0.9688,0.0,0.0,0.2208,1.0,0.104
